User,Inside Out 2,Deadpool & Wolverine,Despicable Me 4,Dune: Part Two,Godzilla x Kong: The New Empire,Kung Fu Panda 4,Bad Boys: Ride or Die,Kingdom of the Planet of the Apes,Twisters,Furiosa: A Mad Max Saga
U1,2,5,4,3,5,4,4,3,4,2
U2,1,5,5,1,1,1,1,5,1,1
U3,3,4,5,5,,,3,,,
U4,3,4,3,4,4,4,3,3,3,3
Joaquin,4,5,1,4,1,2,1,3,3,3
JJ,4,3,3,5,4,4,2,2,4,3
U5,,5,,,,,,,,
Jonny,,,,5,,,,,,
U6,,5,,4,,,,,,
U7,,4,,5,,,,,,
U8,4,5,5,3,3,,5,5,,
andre,5,5,2,,,1,,,,
Levi,,,,4,,,,,,
Phoenix,,4,,,4,,,,,
U9,4,,,,,,5,,5,
U10,,,,5,5,,,,,
U11,4,5,,,,,,,,
U12,5,5,4,,3,,,4,5,
Khoi,,4,,,3,3,,,,
Mad Hatter,4,3,3,4,3,,,,5,
Luke Morris,5,,3,2,,,,,,
Sebastian,3,5,2,5,2,1,2,5,4,5
U13,4,4,,,,,,,,
Green Brass Rattlesnake,5,5,,,,4,,,,
U14,5,5,5,3,3,5,5,3,3,3
Dingus,,5,,,,,,,5,
Jack M.,4,,,4,,,,,,
U15,2,3,2,3,3,5,2,1,3,1
