"We will be working with the movie data later in the semester. If you wish to be able to identify your own responses, please enter a (non-profane) code name here.",Superman,KPop Demon Hunters,F1,Jurassic World Rebirth,The Naked Gun,Thunderbolts*,28 Years Later,Ballerina,Weapons,Sinners
Mig Ram,5,5,5,2,5,3,,,,5
U1,2,3,1,4,2,4,2,3,1,4
Star,5,4,,,,,,,,
U2,,5,5,,,4,,,,5
U3,4,,,,,,,,,
Quynh ,,3,,,,4,,,,3
Horn Studios,4,,,,,,,,,
frootLoops,5,,5,5,,,,,,
Green Arrow,4,,5,,,5,,,4,5
U4,4,3,4,4,,4,,4,,5
Poof,4,,,,,,,,,
lalaland,4,,,,,,,,,
Teddy Bear,3,3,3,3,3,3,5,3,3,3
Emmy,,3,,,,3,4,,,5
