Series,Contestant,PPT,Prize,Subjective,Objective,Fastest,Live,Team,Highest,Lowest,Gender,Greg.Harshness,Age,GregsAge,Seat,Height,Hand,Children,Winner
1,Josh Widdicombe,2.94,3,2.82,3,3,2.67,0.67,22,9,M,1.04,40.67,47,2,169,R,0,Y
1,Romesh Ranganathan,2.91,2.67,2.91,2.9,2.29,3,0.67,22,10,M,1.04,40.67,47,4,182,R,3,N
1,Frank Skinner,2.91,3.5,3.18,2.76,2.57,2.5,1.67,20,9,M,1.04,40.67,47,1,178,R,1,N
1,Tim Key,2.75,4.17,3.36,2.43,2.14,2.83,1.67,18,9,M,1.04,40.67,47,5,177.8,R,0,N
1,Roisin Conaty,2.13,1.67,1.91,2.24,2.43,2.33,0.67,21,7,F,1.04,40.67,47,3,173,R,0,N
2,Katherine Ryan,3.36,3.4,3.42,3.31,2.43,5,2,30,13,F,0.97,38.43,48,4,168,R,1,Y
2,Jon Richardson,3.21,2.8,2.83,3.5,3.43,3,3,25,13,M,0.97,38.43,48,3,173,R,1,N
2,Richard Osman,3.07,2.2,3,3.13,4.57,3.4,3,27,5,M,0.97,38.43,48,5,200,R,2,N
2,Doc Brown,2.79,3.4,2.92,2.69,1.29,4.2,2,21,9,M,0.97,38.43,48,1,170,R,2,N
2,Joe Wilkinson,2.46,3.4,2.92,2.13,1.43,2.4,2,25,8,M,0.97,38.43,48,2,180.5,R,0,N
3,Rob Beckett,3.22,3.2,3,3.4,3,3.2,2.33,21,15,M,1.01,40.45,48,4,170,R,1,Y
3,Dave Gorman,3,3.4,3.58,2.53,2.5,2.6,2.67,21,13,M,1.01,40.45,48,2,175,R,1,N
3,Al Murray,2.96,2.8,2.83,3.07,2.75,2.6,2.67,21,9,M,1.01,40.45,48,1,191,R,3,N
3,Sara Pascoe,2.67,2.8,2.92,2.47,3,2.2,2.33,17,9,F,1.01,40.45,48,5,160,R,0,N
3,Paul Chowdhry,2.44,2.6,2.33,2.53,2.25,2.2,2.67,22,8,M,1.01,40.45,48,3,173,R,0,N
4,Noel Fielding,3.2,3.75,3.95,2.57,3,2.13,1.25,23,12,M,0.97,40.69,48,5,176,R,0,Y
4,Joe Lycett,3.02,3,3.32,2.78,3,2.88,1.25,20,13,M,0.97,40.69,48,2,184,R,0,N
4,Mel Giedroyc,2.98,2.25,2.93,3.02,2.13,3.38,3.75,24,3,F,0.97,40.69,48,4,166,R,2,N
4,Hugh Dennis,2.87,1.63,2.29,3.35,3.25,2.88,3.75,21,13,M,0.97,40.69,48,1,185,R,2,N
4,Lolly Adefope,2.78,4.25,2.78,2.78,3.5,2.25,1.25,20,12,F,0.97,40.69,48,3,163,R,0,N
5,Bob Mortimer,3.21,3.13,3.14,3.27,4.29,3.13,2.33,21,14,M,0.94,41.76,49,2,170,R,2,Y
5,Sally Phillips,3.02,3.75,3.52,2.55,2.57,2.75,2.33,20,14,F,0.94,41.76,49,5,163,R,3,N
5,Mark Watson,3.02,2.88,2.9,3.14,3.43,3.63,2.67,24,11,M,0.94,41.76,49,3,182,L,2,N
5,Aisling Bea,2.93,3.25,3.19,2.68,1.43,3.38,2.33,24,10,F,0.94,41.76,49,1,170,R,0,N
5,Nish Kumar,2.49,2.13,2.81,2.18,2,2.75,2.67,19,12,M,0.94,41.76,49,4,175,R,0,N
6,Liza Tarbuck,3.23,2.9,3.57,2.95,2.5,2.3,3.83,25,10,F,0.99,40.99,49,3,172,R,0,Y
6,Tim Vine,3.13,3.8,3.45,2.85,4,2.3,3.83,26,11,M,0.99,40.99,49,5,188,R,0,N
6,Russell Howard,3.04,3,2.75,3.28,4,2.7,3.33,24,12,M,0.99,40.99,49,4,172,R,0,N
6,Asim Chaudhry,2.84,2.3,2.59,3.05,4.5,2.6,3.83,22,8,M,0.99,40.99,49,2,171,R,0,N
6,Alice Levine,2.71,2.4,2.59,2.82,1.5,2.7,3.33,23,6,F,0.99,40.99,49,1,170.2,R,0,N
7,Kerry Godliman,3.26,3.3,2.98,3.53,2.86,3.6,3.33,23,14,F,0.98,38.14,50,3,160,R,2,Y
7,Jessica Knappett,3.24,2.6,3.13,3.35,2.29,3.2,3.33,25,11,F,0.98,38.14,50,2,181,R,1,N
7,Rhod Gilbert,3.09,2.8,3.02,3.16,2.43,3.1,1.83,22,9,M,0.98,38.14,50,5,183,R,0,N
7,James Acaster,3.06,2.3,2.9,3.19,3.86,2.6,2,20,11,M,0.98,38.14,50,1,185,R,0,N
7,Phil Wang,2.46,3,2.71,2.25,1.86,2.2,1.83,19,9,M,0.98,38.14,50,4,185,R,0,N
8,Lou Sanders,3.09,3,3.07,3.11,2.78,3,2.29,21,12,F,0.97,38.39,50,3,172.7,R,0,Y
8,Iain Stirling,2.94,3.1,3.24,2.72,3.78,1.7,2.29,21,10,M,0.97,38.39,50,1,188,R,0,N
8,Joe Thomas,2.83,2.8,2.89,2.79,1.78,1.8,3.29,24,7,M,0.97,38.39,50,2,175,R,0,N
