Series,Contestant,PPT,Prize,Subjective,Objective,Fastest,Live,Team,Highest,Lowest,Age,Gender,GregHarshnessRating,Seat,Height,Handedness,Children,Winner,Place,ChineseYear,FacialHair,HairColour,Books,Helped,RefusedHelp,Headwear,ComedyAward,Diet,OutfitColor,Language,SecondLanguage,Siblings,BirthOrder
1,Josh Widdicombe,2.94,3,2.82,3,3,2.67,0.67,22,9,58,M,1.04,2,169,R,0,Y,1,Pig,N,Blonde,2,0,0,N,Nom,Veggie,Black,No,,1,Youngest
1,Romesh Ranganathan,2.91,2.67,2.91,2.9,2.29,3,0.67,22,10,32,M,1.04,4,182,R,3,N,2,Horse,Beard,Black,2,0,0,N,Nom,Vegan,Black,No,,1,Oldest
1,Frank Skinner,2.91,3.5,3.18,2.76,2.57,2.5,1.67,20,9,36,M,1.04,1,178,R,1,N,2,Monkey,N,Grey,5,1,0,N,Y,Meat,Black,No,,3,Youngest
1,Tim Key,2.75,4.17,3.36,2.43,2.14,2.83,1.67,18,9,37,M,1.04,5,177.8,R,0,N,4,Dragon,Stubble beard,Brown,5,2,0,N,Y,Meat,Red,Yes,Russian,1,Youngest
1,Roisin Conaty,2.13,1.67,1.91,2.24,2.43,2.33,0.67,21,7,38,F,1.04,3,173,R,0,N,5,Goat,N,Blonde,0,2,0,N,Y,Meat,Pink,No,,1,Oldest
2,Katherine Ryan,3.36,3.4,3.42,3.31,2.43,5,2,30,13,38,F,0.97,4,168,R,1,Y,1,Pig,N,Blonde,1,0,0,N,N,Meat,Grey,Yes,French,2,Oldest
2,Jon Richardson,3.21,2.8,2.83,3.5,3.43,3,3,25,13,41,M,0.97,3,173,R,1,N,2,Dog,Stubble beard,Brown,2,0,0,N,Nom,Vegan,Black,No,,NA,NA
2,Richard Osman,3.07,2.2,3,3.13,4.57,3.4,3,27,5,33,M,0.97,5,200,R,2,N,3,Dog,N,Black,5,1,0,N,N,Meat,Dark blue,No,,1,Youngest
2,Doc Brown,2.79,3.4,2.92,2.69,1.29,4.2,2,21,9,32,M,0.97,1,170,R,2,N,4,Snake,N,Black,4,0,0,N,N,Inconclusive,Green,No,,2,Middle
2,Joe Wilkinson,2.46,3.4,2.92,2.13,1.43,2.4,2,25,8,45,M,0.97,2,180.5,R,0,N,5,Rabbit,Beard,Brown,0,0,0,N,N,Meat,Brown,No,,1,NA
3,Rob Beckett,3.22,3.2,3,3.4,3,3.2,2.33,21,15,48,M,1.01,4,170,R,1,Y,1,Ox,N,Blonde,2,0,0,N,N,Meat,Blue,No,,4,Second youngest
3,Dave Gorman,3,3.4,3.58,2.53,2.5,2.6,2.67,21,13,45,M,1.01,2,175,R,1,N,2,Pig,Stubble beard,Brown,5,0,0,N,Nom,Pescetarian,Blue,No,,3,Youngest (twin)
3,Al Murray,2.96,2.8,2.83,3.07,2.75,2.6,2.67,21,9,42,M,1.01,1,191,R,3,N,3,Monkey,Stubble beard,Bald,6,1,0,Y,Y,Meat,Blue,No,,0,NA
3,Sara Pascoe,2.67,2.8,2.92,2.47,3,2.2,2.33,17,9,30,F,1.01,5,160,R,0,N,4,Rooster,N,Blonde,3,0,1,N,Nom,Vegan,Green,No,,2,Middle
3,Paul Chowdhry,2.44,2.6,2.33,2.53,2.25,2.2,2.67,22,8,35,M,1.01,3,173,R,0,N,5,Tiger,Beard,Black,0,0,0,N,N,Meat,Blue,Yes,Punjabi,NA,NA
4,Noel Fielding,3.2,3.75,3.95,2.57,3,2.13,1.25,23,12,55,M,0.97,5,176,R,0,Y,1,Ox,Stubble,Black,1,0,0,N,Y,Nothing?,Yellow,No,,1,Oldest
4,Joe Lycett,3.02,3,3.32,2.78,3,2.88,1.25,20,13,28,M,0.97,2,184,R,0,N,2,Dragon,N,Blonde,1,0,0,N,Nom,Meat,Dark blue,No,,1,Youngest
4,Mel Giedroyc,2.98,2.25,2.93,3.02,2.13,3.38,3.75,24,3,26,F,0.97,4,166,R,2,N,3,Monkey,N,Blonde,3,1,0,N,N,Meat,Green,Yes,French/Italian,3,Second oldest
4,Hugh Dennis,2.87,1.63,2.29,3.35,3.25,2.88,3.75,21,13,48,M,0.97,1,185,R,2,N,4,Tiger,Stubble beard,Grey,1,0,0,N,N,Meat,Blue,No,,1,Youngest
4,Lolly Adefope,2.78,4.25,2.78,2.78,3.5,2.25,1.25,20,12,43,F,0.97,3,163,R,0,N,5,Horse,N,Black,0,0,0,N,N,Meat,Black,No,,1,NA
5,Bob Mortimer,3.21,3.13,3.14,3.27,4.29,3.13,2.33,21,14,33,M,0.94,2,170,R,2,Y,1,Pig,Stubble,Grey,4,0,0,N,N,Meat,Blue,No,,3,Youngest
5,Sally Phillips,3.02,3.75,3.52,2.55,2.57,2.75,2.33,20,14,58,F,0.94,5,163,R,3,N,2,Dog,N,Blonde,0,2,0,N,N,Meat,Pink,Yes,NA,2,Oldest
5,Mark Watson,3.02,2.88,2.9,3.14,3.43,3.63,2.67,24,11,37,M,0.94,3,182,L,2,N,2,Goat,Beard,Black,5,1,0,N,Nom,Meat,Dark blue,No,,3,Oldest
5,Aisling Bea,2.93,3.25,3.19,2.68,1.43,3.38,2.33,24,10,32,F,0.94,1,170,R,0,N,4,Rat,N,Black,0,2,0,N,Nom,Pescetarian,Green,Yes,French/Gaelic,1,Oldest
5,Nish Kumar,2.49,2.13,2.81,2.18,2,2.75,2.67,19,12,47,M,0.94,4,175,R,0,N,5,Ox,Beard,Black,0,0,0,N,Nom,Meat,Black,No,,1,Oldest
6,Liza Tarbuck,3.23,2.9,3.57,2.95,2.5,2.3,3.83,25,10,31,F,0.99,3,172,R,0,Y,1,Dragon,N,Blonde,1,0,0,N,N,Meat,Black,No,,2,Middle
6,Tim Vine,3.13,3.8,3.45,2.85,4,2.3,3.83,26,11,30,M,0.99,5,188,R,0,N,2,Goat,N,Bald,2,0,0,Y,Y,Meat,Beige,No,,2,Middle
6,Russell Howard,3.04,3,2.75,3.28,4,2.7,3.33,24,12,53,M,0.99,4,172,R,0,N,3,Monkey,N,Blonde,0,3,0,N,Nom,Meat,Blue,No,,2,Oldest
6,Asim Chaudhry,2.84,2.3,2.59,3.05,4.5,2.6,3.83,22,8,38,M,0.99,2,171,R,0,N,4,Tiger,Beard,Black,1,0,0,N,N,Vegan,Black,Yes,Urdu,2,Middle
